Meses;Feijao_cor;Feijao_Prt;Mandioca;Milho;Soja;Trigo;Cafe;Cana;Boi_GD;Boi_MG;Frango;Suino;Leite;Ovos_Gd;Ovos_Md;IGP_DI
set/06;49,30;40,92;77,41;12,03;24,50;22,00;3,28;37,15;53,61;563,24;1,19;1,44;0,45;21,95;20,30;337,817
out/06;57,41;44,50;89,07;13,26;26,55;26,09;3,30;36,37;57,11;610,58;1,29;1,52;0,45;23,82;22,17;340,541
nov/06;57,60;40,34;125,48;15,40;29,01;27,54;3,63;35,94;53,80;554,80;1,22;1,53;0,45;24,37;22,52;342,482
dez/06;52,66;35,23;139,30;16,44;28,43;26,34;4,06;35,91;52,02;534,55;1,19;1,55;0,44;29,27;27,45;343,384
jan/07;43,77;33,48;138,90;16,56;28,90;25,83;3,96;35,57;51,65;542,41;1,26;1,59;0,44;25,45;23,72;344,85
fev/07;40,63;32,34;135,81;16,33;29,50;24,80;3,82;34,63;52,14;557,77;1,39;1,56;0,43;32,91;31,23;345,652
mar/07;40,43;34,71;133,56;16,25;28,62;24,64;3,64;34,19;52,79;559,00;1,38;1,43;0,44;37,66;35,73;346,407
abr/07;42,09;33,35;137,47;14,83;27,21;24,64;3,45;34,16;52,23;557,33;1,29;1,35;0,46;36,15;34,15;346,878
mai/07;52,77;34,38;133,37;14,54;27,03;25,31;3,30;32,63;51,55;546,77;1,27;1,40;0,49;32,00;30,16;347,421
jun/07;59,12;39,41;120,44;14,60;27,30;25,78;3,36;29,54;52,57;557,61;1,29;1,48;0,53;35,90;33,83;348,328
jul/07;57,75;41,53;120,32;14,14;27,64;26,56;3,39;27,93;57,25;615,32;1,37;1,49;0,62;36,91;34,77;349,628
ago/07;65,89;45,51;123,12;16,34;30,20;29,92;3,56;27,79;60,08;647,39;1,43;1,68;0,68;36,95;35,02;354,495
set/07;76,20;53,30;140,69;19,58;33,87;34,08;3,67;28,21;58,40;634,70;1,44;1,78;0,70;34,57;32,72;358,633
out/07;89,22;62,95;151,92;19,39;35,13;32,12;3,63;27,83;59,92;650,80;1,47;1,98;0,65;33,73;31,97;361,308
nov/07;97,38;67,15;158,94;22,82;37,91;29,98;3,47;27,29;66,82;721,05;1,49;2,10;0,61;32,76;30,98;365,1
dez/07;168,59;82,00;160,75;24,94;40,11;30,26;3,63;27,93;69,45;746,70;1,54;2,37;0,58;37,32;35,70;370,485
jan/08;177,23;98,66;163,14;22,20;42,06;33,03;3,72;28,54;68,54;740,30;1,58;2,21;0,58;34,84;32,99;374,139
fev/08;153,70;111,57;163,68;20,71;44,37;34,73;3,90;28,48;68,12;734,71;1,54;2,13;0,58;44,41;42,42;375,558
mar/08;144,65;111,00;156,83;19,86;43,28;38,55;3,78;28,62;69,67;755,47;1,50;2,27;0,59;47,16;45,20;378,194
abr/08;108,35;99,53;158,07;20,02;40,97;41,00;3,62;28,17;71,88;776,41;1,48;2,26;0,62;36,21;34,26;382,414
mai/08;112,34;120,78;161,21;20,13;40,86;41,01;3,62;28,13;75,41;821,33;1,62;2,28;0,67;39,50;37,63;389,585
jun/08;153,46;135,25;159,46;20,17;45,07;39,66;3,63;27,68;85,18;934,87;1,73;2,48;0,69;40,65;38,92;396,954
jul/08;134,78;119,31;161,31;21,31;45,67;35,94;3,56;26,38;85,90;916,76;1,81;2,76;0,70;41,64;39,86;401,406
ago/08;132,50;120,17;165,85;18,44;40,26;29,32;3,50;25,98;85,88;915,55;1,74;2,85;0,66;42,86;41,17;399,87
set/08;157,03;134,73;166,59;17,72;41,25;27,46;3,59;26,78;84,63;915,33;1,76;2,73;0,59;40,43;38,52;401,327
out/08;158,37;155,86;168,92;16,98;40,47;26,29;3,48;27,79;85,10;938,78;1,71;2,82;0,54;37,08;35,23;405,707
nov/08;99,81;114,32;167,37;15,72;40,65;25,67;3,39;29,18;83,02;929,37;1,64;2,31;0,50;36,08;33,93;405,982
dez/08;93,70;110,77;164,00;15,22;39,46;25,32;3,42;29,32;78,56;867,45;1,63;2,37;0,50;37,62;36,01;404,185
jan/09;96,15;131,22;150,66;17,56;45,69;26,80;3,51;29,51;78,40;855,46;1,65;2,00;0,54;31,37;29,25;404,244
fev/09;72,28;100,23;140,14;17,27;44,96;28,98;3,54;29,18;76,33;846,03;1,72;1,66;0,55;35,94;33,95;403,737
mar/09;63,44;71,22;138,79;16,13;42,77;28,79;3,48;29,25;72,55;812,49;1,69;1,64;0,56;39,94;38,15;400,353
